"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"R8SVD9CH","conferencePaper","2021","Koch, Jack; Langosco, Lauro; Pfau, Jacob; Le, James; Sharkey, Lee","Objective Robustness in Deep Reinforcement Learning","arXiv:2105.14111 [cs]","","","","http://arxiv.org/abs/2105.14111","We study objective robustness failures, a type of out-of-distribution robustness failure in reinforcement learning (RL). Objective robustness failures occur when an RL agent retains its capabilities out-of-distribution yet pursues the wrong objective. This kind of failure presents different risks than the robustness problems usually considered in the literature, since it involves agents that leverage their capabilities to pursue the wrong objective rather than simply failing to do anything useful. We provide the first explicit empirical demonstrations of objective robustness failures and present a partial characterization of its causes.","2021-06-08","2022-01-30 04:49:30","2022-01-30 04:49:30","2021-10-30 17:55:11","","","","","","","","","","","","","","","","","","","arXiv.org","","ZSCC: 0000001  arXiv: 2105.14111","","/Users/jacquesthibodeau/Zotero/storage/HBRPM964/Koch et al. - 2021 - Objective Robustness in Deep Reinforcement Learnin.pdf; /Users/jacquesthibodeau/Zotero/storage/HQIR73N6/2105.html","","TechSafety","Computer Science - Machine Learning; Computer Science - Artificial Intelligence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ICML 2021","","","","","","","","","","","","","","",""
"E9GVD3BD","blogPost","2020","Leong, Chris","Embedded vs. External Decision Problems","AI Alignment Forum","","","","https://www.alignmentforum.org/posts/br7KRSeNymwSvZnf5/embedded-vs-external-decision-problems","","2020-03-04","2022-01-30 04:49:30","2022-01-30 04:49:30","2020-08-18 20:51:01","","","","","","","","","","","","","","","","","","","","","ZSCC: NoCitationData[s1]  ACC: N/A","","/Users/jacquesthibodeau/Zotero/storage/E9UCKBGB/embedded-vs-external-decision-problems.html","","TechSafety; AI-Safety-Camp; AISRP2019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VM3QWB8S","blogPost","2021","Koch, Jack; Langosco, Lauro","Discussion: Objective Robustness and Inner Alignment Terminology","AI Alignment Forum","","","","https://www.alignmentforum.org/posts/pDaxobbB9FG5Dvqyv/discussion-objective-robustness-and-inner-alignment","In the alignment community, there seem to be two main ways to frame and define objective robustness and inner alignment. They are quite similar, mainly differing in the manner in which they focus on the same basic underlying problem. We’ll call these the objective-focused approach and the generalization-focused approach. We don’t delve into these issues of framing the problem in Empirical Observations of Objective Robustness Failures, where we present empirical observations of objective robustness failures. Instead, we think it is worth having a separate discussion of the matter. These issues have been mentioned only infrequently in a few comments on the Alignment Forum, so it seemed worthwhile to write a post describing the framings and their differences in an effort to promote further discussion in the community. TL;DR This post compares two different paradigmatic approaches to objective robustness/inner alignment: Objective-focused approach  * Emphasis: “How do we ensure our models/agents have the right    (mesa-)objectives?”  * Outer alignment: “an objective function r is outer aligned if all models that    perform optimally on r in the limit of perfect training and infinite data are    intent aligned.” * Outer alignment is a property of the training objective.         Generalization-focused approach  * Emphasis: “How will this model/agent generalize out-of-distribution?” *        Considering a model’s “objectives” or “goals,” whether behavioral or       internal, is instrumentally useful for predicting OOD behavior, but what       you ultimately care about is whether it generalizes “acceptably.”          * Outer alignment: a model is outer aligned if it performs desirably on the    training distribution. * Outer alignment is a property of the tuple (training       objective, training data, training setup, model).         Special thanks to Rohin Shah, Evan Hubinger, Edouard Harris, Adam Shimi, and Adam Gleave for their helpful feedback on drafts of this po","2021-06-23","2022-01-30 04:49:30","2022-01-30 04:49:30","2021-10-30 18:03:29","","","","","","","Discussion","","","","","","","","","","","","","","ZSCC: NoCitationData[s0]  ACC: N/A","","/Users/jacquesthibodeau/Zotero/storage/X74XW5JR/discussion-objective-robustness-and-inner-alignment.html","","TechSafety","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5HWDDTTB","conferencePaper","2019","Mancuso, Jason; Kisielewski, Tomasz; Lindner, David; Singh, Alok","Detecting Spiky Corruption in Markov Decision Processes","","","","","http://arxiv.org/abs/1907.00452","Current reinforcement learning methods fail if the reward function is imperfect, i.e. if the agent observes reward different from what it actually receives. We study this problem within the formalism of Corrupt Reward Markov Decision Processes (CRMDPs). We show that if the reward corruption in a CRMDP is sufficiently ""spiky"", the environment is solvable. We fully characterize the regret bound of a Spiky CRMDP, and introduce an algorithm that is able to detect its corrupt states. We show that this algorithm can be used to learn the optimal policy with any common reinforcement learning algorithm. Finally, we investigate our algorithm in a pair of simple gridworld environments, finding that our algorithm can detect the corrupt states and learn the optimal policy despite the corruption.","2019-06-30","2022-01-30 04:49:30","2022-01-30 04:49:30","2019-12-16 03:27:42","","","","","","","","","","","","","","","","","","","arXiv.org","","ZSCC: 0000002  arXiv: 1907.00452","","/Users/jacquesthibodeau/Zotero/storage/7UWHJF9I/Mancuso et al. - 2019 - Detecting Spiky Corruption in Markov Decision Proc.pdf; /Users/jacquesthibodeau/Zotero/storage/ZJH6BKAF/Mancuso et al. - 2019 - Detecting Spiky Corruption in Markov Decision Proc.pdf; /Users/jacquesthibodeau/Zotero/storage/ZW3BBNWK/1907.html","","TechSafety; AI-Safety-Camp","Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AI Safety Workshop in IJCAI 2019","","","","","","","","","","","","","","",""
"7QA8U489","conferencePaper","2019","Majha, Arushi; Sarkar, Sayan; Zagami, Davide","Categorizing Wireheading in Partially Embedded Agents","","","","","http://arxiv.org/abs/1906.09136","$\textit{Embedded agents}$ are not explicitly separated from their environment, lacking clear I/O channels. Such agents can reason about and modify their internal parts, which they are incentivized to shortcut or $\textit{wirehead}$ in order to achieve the maximal reward. In this paper, we provide a taxonomy of ways by which wireheading can occur, followed by a definition of wirehead-vulnerable agents. Starting from the fully dualistic universal agent AIXI, we introduce a spectrum of partially embedded agents and identify wireheading opportunities that such agents can exploit, experimentally demonstrating the results with the GRL simulation platform AIXIjs. We contextualize wireheading in the broader class of all misalignment problems - where the goals of the agent conflict with the goals of the human designer - and conjecture that the only other possible type of misalignment is specification gaming. Motivated by this taxonomy, we define wirehead-vulnerable agents as embedded agents that choose to behave differently from fully dualistic agents lacking access to their internal parts.","2019-06-21","2022-01-30 04:49:30","2022-01-30 04:49:30","2019-12-16 03:26:47","","","","","","","","","","","","","","","","","","","arXiv.org","","ZSCC: 0000001","","/Users/jacquesthibodeau/Zotero/storage/2PGIU7BA/Majha et al. - 2019 - Categorizing Wireheading in Partially Embedded Age.pdf; /Users/jacquesthibodeau/Zotero/storage/UGH6MA5M/Majha et al. - 2019 - Categorizing Wireheading in Partially Embedded Age.pdf; /Users/jacquesthibodeau/Zotero/storage/429IP46K/1906.html; /Users/jacquesthibodeau/Zotero/storage/MMNA4BT2/1906.html","","TechSafety; AI-Safety-Camp","Computer Science - Artificial Intelligence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AI Safety Workshop in IJCAI 2019","","","","","","","","","","","","","","",""
"NWMVFW46","blogPost","2020","Chiswick, Max; Makiievskyi, Anton; Zhou, Liang","Assessing Generalization in Reward Learning: Intro and Background","Towards Data Science (Medium)","","","","https://towardsdatascience.com/assessing-generalization-in-reward-learning-intro-and-background-da6c99d9e48","An overview of reinforcement learning, generalization, and reward learning","2020-11-20","2022-01-30 04:49:30","2022-01-30 04:49:30","2020-11-21 18:11:23","","","","","","","Assessing Generalization in Reward Learning","","","","","","","en","","","","","","","ZSCC: NoCitationData[s0]  ACC: N/A","","/Users/jacquesthibodeau/Zotero/storage/WCTVNGGW/assessing-generalization-in-reward-learning-intro-and-background-da6c99d9e48.html","","TechSafety; AI-Safety-Camp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XMHWUMQC","blogPost","2020","Kosch, Sebastian","AISC4: Research Summaries","AI Safety Camp","","","","https://aisafety.camp/2020/05/30/aisc4-research-summaries/","The fourth AI Safety Camp took place in May 2020 in Toronto. Due to COVID-19, the camp was held virtually. Six teams participated and worked on the following topics: Survey on AI risk scenarios Opt…","2020-05-30","2022-01-30 04:49:30","2022-01-30 04:49:30","2020-11-21 19:14:38","","","","","","","AISC4","","","","","","","en-US","","","","","","","ZSCC: NoCitationData[s1]  ACC: N/A","","/Users/jacquesthibodeau/Zotero/storage/N39D7ZWI/aisc4-research-summaries.html","","TechSafety; AI-Safety-Camp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F4NQ9ZES","blogPost","2019","Kovarik, Vojta","AI Safety Debate and Its Applications","LessWrong","","","","https://www.lesswrong.com/posts/5Kv2qNfRyXXihNrx2/ai-safety-debate-and-its-applications","All of the experimental work and some of the theoretical work has been done jointly with Anna Gajdova, David Lindner, Lukas Finnveden, and Rajashree Agrawal as part of the third AI Safety Camp. We are grateful to Ryan Carey and Geoffrey Irving for the advice regarding this project. The remainder of the theoretical part relates to my stay at FHI, and I would like to thank the above people, Owain Evans, Michael Dennis, Ethan Perez, Stuart Armstrong, and Max Daniel for comments/discussions. -------------------------------------------------------------------------------- Debate is a recent proposal for AI alignment, which naturally incorporates elicitation of human preferences and has the potential to offload the costly search for flaws in an AI’s suggestions onto the AI. After briefly recalling the intuition behind debate, we list the main open problems surrounding it and summarize how the existing work on debate addresses them. Afterward, we describe, and distinguish between, Debate games and their different applications in more detail. We also formalize what it means for a debate to be truth-promoting. Finally, we present results of our experiments on Debate games and Training via Debate on MNIST and fashion MNIST. DEBATE GAMES AND WHY THEY ARE USEFUL Consider an answer A to some question Q --- for example, ""Where should I go for a vacation?"" and ""Alaska"". Rather than directly verifying whether A is an accurate answer to Q, it might be easier to first decompose A into lower-level components (How far/expensive is it? Do they have nice beaches? What is the average temperature? What language do they speak?). Moreover, it isn't completely clear what to do even if we know the relevant facts --- indeed, how does Alaska's cold weather translate to a preference for Alaska from 0 to 10? And how does this preference compare to English being spoken in Alaska? As an alternative, we can hold a debate between two competing answers A and A′=""Bali"" to Q. This allows strategic de","2019-07-23","2022-01-30 04:49:29","2022-01-30 04:49:29","2019-12-16 03:27:22","","","","","","","","","","","","","","","","","","","","","ZSCC: NoCitationData[s2]  ACC: N/A","","/Users/jacquesthibodeau/Zotero/storage/R59PFVJB/ai-safety-debate-and-its-applications.html","","TechSafety; AI-Safety-Camp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MKCF7837","journalArticle","2019","Perry, Brandon; Uuk, Risto","AI Governance and the Policymaking Process: Key Considerations for Reducing AI Risk","Big Data and Cognitive Computing","","","10.3390/bdcc3020026","https://www.mdpi.com/2504-2289/3/2/26","This essay argues that a new subfield of AI governance should be explored that examines the policy-making process and its implications for AI governance. A growing number of researchers have begun working on the question of how to mitigate the catastrophic risks of transformative artificial intelligence, including what policies states should adopt. However, this essay identifies a preceding, meta-level problem of how the space of possible policies is affected by the politics and administrative mechanisms of how those policies are created and implemented. This creates a new set of key considerations for the field of AI governance and should influence the action of future policymakers. This essay examines some of the theories of the policymaking process, how they compare to current work in AI governance, and their implications for the field at large and ends by identifying areas of future research.","2019-06","2022-01-30 04:49:29","2022-01-30 04:49:29","2020-12-14 23:48:16","26","","2","3","","","AI Governance and the Policymaking Process","","","","","","","en","http://creativecommons.org/licenses/by/3.0/","","","","www.mdpi.com","","ZSCC: 0000017  Number: 2 Publisher: Multidisciplinary Digital Publishing Institute","","/Users/jacquesthibodeau/Zotero/storage/2R7BPXBH/Perry and Uuk - 2019 - AI Governance and the Policymaking Process Key Co.pdf","","MetaSafety; Other-org","AI governance; AI risk; policymaking process; typologies of AI policy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CMQECS38","blogPost","2021","Smith, Ben; Pihlakas, Roland; Klassert, Robert","A brief review of the reasons multi-objective RL could be important in AI Safety Research","LessWrong","","","","https://www.lesswrong.com/posts/i5dLfi6m6FCexReK9/a-brief-review-of-the-reasons-multi-objective-rl-could-be","By Ben Smith, Roland Pihlakas, and Robert Klassert Thanks to Linda Linsefors, Alex Turner, Richard Ngo, Peter Vamplew, JJ Hepburn, Tan Zhi-Xuan, Remmelt Ellen, Kaj Sotala, Koen Holtman, and Søren Elverlin for their time and kind remarks in reviewing this essay. Thanks to the organisers of the AI Safety Camp for incubating this project from its inception and for connecting our team. For the last 9 months, we have been investigating the case for a multi-objective approach to reinforcement learning in AI Safety. Based on our work so far, we’re moderately convinced that multi-objective reinforcement learning should be explored as a useful way to help us understand ways in which we can achieve safe superintelligence. We’re writing this post to explain why, to inform readers of the work we and our colleagues are doing in this area, and invite critical feedback about our approach and about multi-objective RL in general. We were first attracted to the multi-objective space because human values are inherently multi-objective--in any number of frames: deontological, utilitarian, and virtue ethics; egotistical vs. moral objectives; maximizing life values including hedonistic pleasure, eudaemonic meaning, or the enjoyment of power and status. AGI systems aiming to solve for human values are likely to be multi-objective themselves, if not by explicit design, then multi-objective systems would emerge from learning about human preferences. As a first pass at technical research in this area, we took a commonly-used example, the “BreakableBottles” problem, and showed that for low-impact AI, an agent could more quickly solve this toy problem if it uses a conservative but flexible trade-off between alignment and performance values, compared to using a thresholded alignment system to maximize a certain amount of alignment and only then maximizing on performance. Such tradeoffs will be critical for understanding the conflicts between more abstract human objectives a human-preferen","2021-09-29","2022-01-30 04:49:29","2022-01-30 04:49:29","2021-10-30 18:07:11","","","","","","","","","","","","","","","","","","","","","ZSCC: NoCitationData[s0]  ACC: N/A","","/Users/jacquesthibodeau/Zotero/storage/VPK7QUUN/a-brief-review-of-the-reasons-multi-objective-rl-could-be.html","","TechSafety","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BP895WND","blogPost","2016","AI Impacts","What if you turned the world’s hardware into AI minds?","AI Impacts","","","","https://aiimpacts.org/what-if-you-turned-the-worlds-hardware-into-ai-minds/","In a classic 'AI takes over the world' scenario, one of the first things an emerging superintelligence wants to do is steal most of the world's computing hardware and repurpose it to running the AI's own software. This step takes one from 'super-proficient hacker' levels of smart to 'my brain is one of the main things happening on Planet Earth' levels of smart. There is quite a...","2016-09-04","2022-01-30 04:49:21","2022-01-30 04:49:21","2020-12-13 19:54:15","","","","","","","","","","","","","","en-US","","","","","","","ZSCC: NoCitationData[s1]  ACC: N/A  Section: Blog","","/Users/jacquesthibodeau/Zotero/storage/BMDFBIQX/what-if-you-turned-the-worlds-hardware-into-ai-minds.html","","MetaSafety; AI-Impacts-NotFeatured","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZBUX2G49","blogPost","2021","Kokotajlo, Daniel","What 2026 looks like","AI Alignment Forum","","","","https://www.alignmentforum.org/posts/6Xgy6CAf2jqHhynHL/what-2026-looks-like","This was written for the Vignettes Workshop.[1] The goal is to write out a  detailed future history (“trajectory”) that is as realistic (to me) as I can currently manage, i.e. I’m not aware of any alternative trajectory that is similarly detailed and clearly more plausible to me. The methodology is roughly: Write a future history of 2022. Condition on it, and write a future history of 2023. Repeat for 2024, 2025, etc. (I'm posting 2022-2026 now so I can get feedback that will help me write 2027+. I intend to keep writing until the story reaches singularity/extinction/utopia/etc.) What’s the point of doing this? Well, there are a couple of reasons:  * Sometimes attempting to write down a concrete example causes you to learn    things, e.g. that a possibility is more or less plausible than you thought.  * Most serious conversation about the future takes place at a high level of    abstraction, talking about e.g. GDP acceleration, timelines until TAI is    affordable, multipolar vs. unipolar takeoff… vignettes are a neglected    complementary approach worth exploring.  * Most stories are written backwards. The author begins with some idea of how    it will end, and arranges the story to achieve that ending. Reality, by    contrast, proceeds from past to future. It isn’t trying to entertain anyone    or prove a point in an argument.  * Anecdotally, various people seem to have found Paul Christiano’s “tales of    doom” stories helpful, and relative to typical discussions those stories are    quite close to what we want. (I still think a bit more detail would be good —    e.g. Paul’s stories don’t give dates, or durations, or any numbers at all    really.)[2]  * “I want someone to ... write a trajectory for how AI goes down, that is    really specific about what the world GDP is in every one of the years from    now until insane intelligence explosion. And just write down what the world    is like in each of those years because I don't know how to write an    internally","2021-08-06","2022-01-30 04:49:21","2022-01-30 04:49:21","2021-11-18 23:05:44","","","","","","","","","","","","","","","","","","","","","ZSCC: NoCitationData[s0]  ACC: N/A","","/Users/jacquesthibodeau/Zotero/storage/3DAS3TNK/what-2026-looks-like-daniel-s-median-future.html","","MetaSafety","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WFC7D3BN","blogPost","2019","Walsh, Toby","Walsh 2017 survey","AI Impacts","","","","https://aiimpacts.org/walsh-2017-survey/","Toby Walsh surveyed hundreds of experts and non-experts in 2016 and found their median estimates for ‘when a computer might be able to carry out most human professions at least as well as a typical human’ were as follows: Probability of HLMIGroup of survey respondentsAI expertsRobotics expertsNon-experts10%20352033202650%20612065203990%210921182060 Details Toby Walsh, professor of AI at the...","2019-12-24","2022-01-30 04:49:21","2022-01-30 04:49:21","2020-11-14 03:21:35","","","","","","","","","","","","","","en-US","","","","","","","ZSCC: NoCitationData[s0]  ACC: N/A  Section: AI Timeline Surveys","","/Users/jacquesthibodeau/Zotero/storage/77WDNJVZ/walsh-2017-survey.html","","MetaSafety; AI-Impacts-NotFeatured","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KSMW4U3T","blogPost","2020","AI Impacts","Time for AI to cross the human range in English draughts","AI Impacts","","","","https://aiimpacts.org/time-for-ai-to-cross-the-human-range-in-english-draughts/","AI took over 30 years to go from beginner level to superhuman level","2020-10-26","2022-01-30 04:49:21","2022-01-30 04:49:21","2020-11-21 20:34:50","","","","","","","","","","","","","","en-US","","","","","","","ZSCC: NoCitationData[s0]  ACC: N/A  Section: Range of Human Performance","","/Users/jacquesthibodeau/Zotero/storage/367ECIGF/time-for-ai-to-cross-the-human-range-in-english-draughts.html","","MetaSafety; AI-Impacts-NotFeatured","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"794VTKRN","blogPost","2020","AI Impacts","Time for AI to cross the human performance range in Go","AI Impacts","","","","https://aiimpacts.org/time-for-ai-to-cross-the-human-performance-range-in-go/","Computer Go took over 30 years to go from beginner level to superhuman.","2020-10-15","2022-01-30 04:49:21","2022-01-30 04:49:21","2020-11-21 20:37:18","","","","","","","","","","","","","","en-US","","","","","","","ZSCC: NoCitationData[s0]  ACC: N/A  Section: Range of Human Performance","","/Users/jacquesthibodeau/Zotero/storage/ETACUV59/time-for-ai-to-cross-the-human-performance-range-in-go.html","","MetaSafety; AI-Impacts-NotFeatured","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BR5ED5D2","blogPost","2020","AI Impacts","Time for AI to cross the human performance range in chess","AI Impacts","","","","https://aiimpacts.org/time-for-ai-to-cross-the-human-performance-range-in-chess/","Computer chess took around 50 years to go from beginner level to superhuman level.","2020-10-15","2022-01-30 04:49:21","2022-01-30 04:49:21","2020-11-21 20:37:56","","","","","","","","","","","","","","en-US","","","","","","","ZSCC: NoCitationData[s0]  ACC: N/A  Section: Range of Human Performance","","/Users/jacquesthibodeau/Zotero/storage/4CIAV85I/time-for-ai-to-cross-the-human-performance-range-in-chess.html","","MetaSafety; AI-Impacts-NotFeatured","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EDIFICXQ","blogPost","2020","Bergal, Asya","Takeaways from safety by default interviews","AI Impacts","","","","https://aiimpacts.org/takeaways-from-safety-by-default-interviews/","Last year, several researchers at AI Impacts (primarily Robert Long and I) interviewed prominent researchers inside and outside of the AI safety field who are relatively optimistic about advanced AI being developed safely. These interviews were originally intended to focus narrowly on reasons for optimism, but we ended up covering a variety of topics, including AGI timelines, the likelihood of current techniques leading to AGI, and what the right things to do in AI safety are right now. (...)","2020-04-03","2022-01-30 04:49:21","2022-01-30 04:49:21","2020-09-05 18:07:33","","","","","","","","","","","","","","en-US","","","","","","","ZSCC: NoCitationData[s1]  ACC: N/A  Section: Blog","","/Users/jacquesthibodeau/Zotero/storage/H79BNVC8/takeaways-from-safety-by-default-interviews.html","","MetaSafety; AI-Impacts-NotFeatured","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NJQ2C7UT","blogPost","2020","Kokotajlo, Daniel","Relevant pre-AGI possibilities","AI Impacts","","","","https://aiimpacts.org/relevant-pre-agi-possibilities/","Brainstorm of ways the world could be relevantly different by the time advanced AGI arrives","2020-06-19","2022-01-30 04:49:21","2022-01-30 04:49:21","2020-08-31 18:08:43","","","","","","","","","","","","","","en-US","","","","","","","ZSCC: NoCitationData[s1]  ACC: N/A  Section: Blog","","/Users/jacquesthibodeau/Zotero/storage/XG932AG6/relevant-pre-agi-possibilities.html","","MetaSafety; AI-Impacts-NotFeatured","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZGB57MGS","blogPost","2018","Garfinkel, Ben","Reinterpreting “AI and Compute”","AI Impacts","","","","https://aiimpacts.org/reinterpreting-ai-and-compute/","This is a guest post by Ben Garfinkel. We revised it slightly, at his request, on February 9, 2019. A recent OpenAI blog post, “AI and Compute,” showed that the amount of computing power consumed by the most computationally intensive machine learning projects has been doubling every three months. The post presents this trend as...","2018-12-18","2022-01-30 04:49:21","2022-01-30 04:49:21","2020-11-14 03:34:13","","","","","","","","","","","","","","en-US","","","","","","","ZSCC: NoCitationData[s0]  ACC: N/A  Section: Blog","","/Users/jacquesthibodeau/Zotero/storage/BXV9445T/reinterpreting-ai-and-compute.html","","MetaSafety; AI-Impacts-NotFeatured","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G3BNDJ2G","journalArticle","2018","Grace, Katja; Salvatier, John; Dafoe, Allan; Zhang, Baobao; Evans, Owain","When Will AI Exceed Human Performance? Evidence from AI Experts","Journal of Artificial Intelligence Research","","","","http://arxiv.org/abs/1705.08807","Advances in artificial intelligence (AI) will transform modern life by reshaping transportation, health, science, finance, and the military. To adapt public policy, we need to better anticipate these advances. Here we report the results from a large survey of machine learning researchers on their beliefs about progress in AI. Researchers predict AI will outperform humans in many activities in the next ten years, such as translating languages (by 2024), writing high-school essays (by 2026), driving a truck (by 2027), working in retail (by 2031), writing a bestselling book (by 2049), and working as a surgeon (by 2053). Researchers believe there is a 50% chance of AI outperforming humans in all tasks in 45 years and of automating all human jobs in 120 years, with Asian respondents expecting these dates much sooner than North Americans. These results will inform discussion amongst researchers and policymakers about anticipating and managing trends in AI.","2018","2022-01-30 04:49:21","2022-01-30 04:49:21","2019-12-16 02:29:10","729–754","","","62","","","When Will AI Exceed Human Performance?","","","","","","","","","","","","arXiv.org","","ZSCC: 0000539  arXiv: 1705.08807","","/Users/jacquesthibodeau/Zotero/storage/MXS9Q4IA/Grace et al. - 2018 - When Will AI Exceed Human Performance Evidence fr.pdf; /Users/jacquesthibodeau/Zotero/storage/XZIMBZVK/1705.html; /Users/jacquesthibodeau/Zotero/storage/9HN4IS26/1705.html; /Users/jacquesthibodeau/Zotero/storage/MM69SWUB/Grace et al. - 2018 - When will AI exceed human performance Evidence fr.pdf; /Users/jacquesthibodeau/Zotero/storage/AENSKWZK/11222.html; /Users/jacquesthibodeau/Zotero/storage/RVNTGCXF/11222.html; /Users/jacquesthibodeau/Zotero/storage/H2NGMISH/11222.html","","MetaSafety; FHI; AI-Impacts-NotFeatured","Computer Science - Artificial Intelligence; Computer Science - Computers and Society","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I2IG8DRB","blogPost","2020","Bergal, Asya","Trends in DRAM price per gigabyte","AI Impacts","","","","https://aiimpacts.org/trends-in-dram-price-per-gigabyte/","The price of a gigabyte of DRAM has fallen by about a factor of ten every 5 years from 1957 to 2020. Since 2010, the price has fallen much more slowly, at a rate that would yield an order of magnitude over roughly 14 years. Details Background DRAM, “dynamic random-access memory”, is a type of...","2020-04-14","2022-01-30 04:49:21","2022-01-30 04:49:21","2020-09-05 17:11:39","","","","","","","","","","","","","","en-US","","","","","","","ZSCC: NoCitationData[s1]  ACC: N/A  Section: Hardware and AI Timelines","","/Users/jacquesthibodeau/Zotero/storage/PI98VB6J/trends-in-dram-price-per-gigabyte.html","","MetaSafety; AI-Impacts-NotFeatured","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BU7J7CAX","blogPost","2020","AI Impacts","Time for AI to cross the human range in StarCraft","AI Impacts","","","","https://aiimpacts.org/time-for-ai-to-cross-the-human-range-in-starcraft/","AI took about twenty years to go from beginner level to high professional level.","2020-10-20","2022-01-30 04:49:21","2022-01-30 04:49:21","2020-11-21 20:36:03","","","","","","","","","","","","","","en-US","","","","","","","ZSCC: NoCitationData[s0]  ACC: N/A  Section: Range of Human Performance","","/Users/jacquesthibodeau/Zotero/storage/EFWDD55K/time-for-ai-to-cross-the-human-range-in-starcraft.html","","MetaSafety; AI-Impacts-NotFeatured","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22TF52ND","blogPost","2018","Johnson, Aysja","Time for AI to cross the human performance range in diabetic retinopathy","AI Impacts","","","","https://aiimpacts.org/diabetic-retinopathy-as-a-case-study-in-time-for-ai-to-cross-the-range-of-human-performance/","In diabetic retinopathy, automated systems started out just below expert human level performance, and took around ten years to reach expert human level performance. Details Diabetic retinopathy is a complication of diabetes in which the back of the eye is damaged by high blood sugar levels. It is the most common cause of blindness among working-age...","2018-11-21","2022-01-30 04:49:21","2022-01-30 04:49:21","2020-11-14 03:21:47","","","","","","","","","","","","","","en-US","","","","","","","ZSCC: NoCitationData[s0]  ACC: N/A  Section: Range of Human Performance","","/Users/jacquesthibodeau/Zotero/storage/M8IRAET5/diabetic-retinopathy-as-a-case-study-in-time-for-ai-to-cross-the-range-of-human-performance.html","","MetaSafety; AI-Impacts-NotFeatured","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QX5FAHWI","blogPost","2019","McCaslin, Tegan","Primates vs birds: Is one brain architecture better than the other?","AI Impacts","","","","https://aiimpacts.org/primates-vs-birds-is-one-brain-architecture-better-than-the-other/","The boring answer to that question is, “Yes, birds.” But that’s only because birds can pack more neurons into a walnut-sized brain than a monkey with a brain four times that size. So let’s forget about brain volume for a second and ask the really interesting question: neuron per neuron, who’s coming out ahead? You...","2019-02-28","2022-01-30 04:49:20","2022-01-30 04:49:20","2020-11-14 03:21:40","","","","","","","Primates vs birds","","","","","","","en-US","","","","","","","ZSCC: NoCitationData[s0]  ACC: N/A  Section: Blog","","/Users/jacquesthibodeau/Zotero/storage/FZQSAPHU/primates-vs-birds-is-one-brain-architecture-better-than-the-other.html","","MetaSafety; AI-Impacts-NotFeatured","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
